agencies,locations,Medicare-certified HH,Licensed-only HH,Hospice,PAS only,County,total_pop,seniors,CBSA,certified_per_10k_seniors,agencies_per_100k_pop,census,census_reporting_pct
5,5,4,1,0,0,Van Zandt,62649,12751,Rural Texas,3.137,7.981,433,100.0
22,23,7,1,7,7,Victoria,91413,15625,"Victoria, TX",4.48,24.067,2344,87.0
13,15,2,2,4,5,Walker,80209,11123,"Huntsville, TX",1.798,16.208,734,66.7
17,17,0,5,4,8,Waller,61552,7143,"Houston-Pasadena-The Woodlands, TX",0.0,27.619,208,47.1
1,1,0,0,1,0,Ward,11144,1510,Rural Texas,0.0,8.973,0,100.0
8,8,3,2,2,1,Washington,36647,8464,"Brenham, TX",3.544,21.83,853,87.5
126,128,41,19,15,53,Webb,269294,27741,"Laredo, TX",14.78,46.789,12163,83.6
8,8,4,0,2,2,Wharton,41794,7589,"El Campo, TX",5.271,19.142,682,87.5
1,1,1,0,0,0,Wheeler,4862,1005,Rural Texas,9.95,20.568,20,100.0
34,35,13,7,9,6,Wichita,129996,20006,"Wichita Falls, TX",6.498,26.155,6185,88.6
4,4,2,0,2,0,Wilbarger,12616,2499,"Vernon, TX",8.003,31.706,642,100.0
2,2,0,1,0,1,Willacy,20139,2967,"Raymondville, TX",0.0,9.931,48,100.0
101,103,21,15,15,50,Williamson,672688,86908,"Austin-Round Rock-San Marcos, TX",2.416,15.014,9054,58.3
2,2,1,1,0,0,Wilson,52781,9039,"San Antonio-New Braunfels, TX",1.106,3.789,154,50.0
0,0,0,0,0,0,Winkler,7454,933,Rural Texas,0.0,0.0,0,0.0
9,9,2,2,2,3,Wise,75005,11658,"Dallas-Fort Worth-Arlington, TX",1.716,11.999,1349,88.9
2,2,0,0,2,0,Wood,46961,12954,Rural Texas,0.0,4.259,47,100.0
0,0,0,0,0,0,Yoakum,7571,971,Rural Texas,0.0,0.0,0,0.0
8,8,3,2,3,0,Young,18029,3827,Rural Texas,7.839,44.373,526,75.0
5,5,0,3,0,2,Zapata,13841,1950,"Zapata, TX",0.0,36.125,742,60.0
2,2,1,1,0,0,Zavala,9412,1477,Rural Texas,6.77,21.249,151,100.0
